,trial,condition,statistic,p-value
0,AB,Losses,0.5753424657534246,0.241644723140752
1,AB,LossesEF,0.6901408450704225,0.0018204049356112858
2,AB,Gains,0.7049180327868853,0.001868101030975251
3,AB,GainsEF,0.7741935483870968,1.7428522601631996e-05
4,CD,Losses,0.684931506849315,0.0021181727464006325
5,CD,LossesEF,0.6056338028169014,0.09592363141082376
6,CD,Gains,0.7213114754098361,0.0007299045109347685
7,CD,GainsEF,0.8064516129032258,1.2143807700186297e-06
8,CA,Losses,0.3972602739726027,0.10064367752023572
9,CA,LossesEF,0.49295774647887325,1.0
10,CA,Gains,0.32786885245901637,0.009853448195259268
11,CA,GainsEF,0.4838709677419355,0.8990763136528589
12,BD,Losses,0.4931506849315068,1.0
13,BD,LossesEF,0.5915492957746479,0.1539127693264563
14,BD,Gains,0.5409836065573771,0.6089207154048286
15,BD,GainsEF,0.4838709677419355,0.8990763136528589
16,CB,Losses,0.7123287671232876,0.0003713401159383162
17,CB,LossesEF,0.647887323943662,0.01699465257343638
18,CB,Gains,0.6721311475409836,0.009853448195259268
19,CB,GainsEF,0.8064516129032258,1.2143807700186297e-06
20,AD,Losses,0.6986301369863014,0.0009142745821630902
21,AD,LossesEF,0.7323943661971831,0.000112268646894988
22,AD,Gains,0.8524590163934426,1.802802378388091e-08
23,AD,GainsEF,0.7741935483870968,1.7428522601631996e-05
