AIC,BIC,t,alpha,weight,model,Condition,scale,la,alpha_neg,BIC_weight
230.036,239.931,1.079,0.258,0.521,delta_decay,Baseline,,,,0.042
227.046,243.538,1.203,0.252,0.48,delta_decay_PVL,Baseline,0.401,1.472,,0.007
225.575,235.47,1.639,0.195,0.497,delta_decay_win,Baseline,,,,0.394
225.219,241.71,1.824,0.235,0.605,delta_decay_PVL_win,Baseline,0.495,2.077,,0.017
221.652,234.845,1.698,0.237,0.528,delta_asymmetric_decay_win,Baseline,,,0.365,0.539
230.347,240.242,1.079,0.245,0.465,delta_decay,Frequency,,,,0.061
227.859,244.351,1.179,0.278,0.452,delta_decay_PVL,Frequency,0.377,1.541,,0.008
226.468,236.363,1.486,0.232,0.517,delta_decay_win,Frequency,,,,0.427
225.574,242.066,1.727,0.272,0.617,delta_decay_PVL_win,Frequency,0.476,1.922,,0.025
222.937,236.13,1.664,0.274,0.517,delta_asymmetric_decay_win,Frequency,,,0.381,0.479
